吉林联通,#genre#
直播频道04,rtsp://139.215.98.88/PLTV/88888888/224/3221225789/10000100000000060000000014254082_0.smil
直播频道03,rtsp://139.215.98.88/PLTV/88888888/224/3221225755/10000100000000060000000014254007_0.smil
直播频道02,rtsp://139.215.98.88/PLTV/88888888/224/3221225771/10000100000000060000000014254020_0.smil
直播频道01,rtsp://139.215.98.88/PLTV/88888888/224/3221226137/10000100000000060000000015570875_0.smil
九屏频道,rtsp://139.215.98.88/PLTV/88888888/224/3221226197/10000100000000060000000015634736_0.smil
江苏移动HEVC,#genre#
凤凰资讯HD,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228098/index.m3u8
凤凰中文HD,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228057/index.m3u8
凤凰香港HD,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228060/index.m3u8
CCTV1HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228146/index.m3u8
CCTV1HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227725/index.m3u8
CCTV1 H265 8M,http://112.25.63.195:8080/gitv_live/G_CCTV-1-HD-265-8M/G_CCTV-1-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
CCTV2HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228118/index.m3u8
CCTV2 H265 8M,http://112.25.63.195:8080/gitv_live/G_CCTV-2-HD-265-8M/G_CCTV-2-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
CCTV3HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228188/index.m3u8
CCTV3 H265 8M,http://112.25.63.195:8080/gitv_live/G_CCTV-3-HD-265-8M/G_CCTV-3-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
CCTV4HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228156/index.m3u8
CCTV4 H265 8M,http://112.25.63.195:8080/gitv_live/G_CCTV-4-HD-265-8M/G_CCTV-4-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
CCTV5HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228082/index.m3u8
CCTV5HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228173/index.m3u8
CCTV5 H265 8M,http://112.25.63.195:8080/gitv_live/G_CCTV-5-HD-265-8M/G_CCTV-5-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
CCTV5+HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228076/index.m3u8
CCTV5+HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228114/index.m3u8
CCTV5+ H265 8M,http://112.25.63.195:8080/gitv_live/G_CCTV-5PLUS-HD-265-8M/G_CCTV-5PLUS-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
CCTV6HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228185/index.m3u8
CCTV6HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227581/index.m3u8
CCTV6 H265 8M,http://112.25.63.195:8080/gitv_live/G_CCTV-6-HD-265-8M/G_CCTV-6-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
CCTV7 H265 8M,http://112.25.63.195:8080/gitv_live/G_CCTV-7-HD-265-8M/G_CCTV-7-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
CCTV8HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228079/index.m3u8
CCTV8 H265 8M,http://112.25.63.195:8080/gitv_live/G_CCTV-8-HD-265-8M/G_CCTV-8-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
CCTV9 H265 8M,http://112.25.63.195:8080/gitv_live/G_CCTV-9-HD-265-8M/G_CCTV-9-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
CCTV10 H265 8M,http://112.25.63.195:8080/gitv_live/G_CCTV-10-HD-265-8M/G_CCTV-10-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
CCTV12 H265 8M,http://112.25.63.195:8080/gitv_live/G_CCTV-12-HD-265-8M/G_CCTV-12-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
CCTV13 H265 8M,http://112.25.63.195:8080/gitv_live/G_CCTV-13-HD-265-8M/G_CCTV-13-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
北京卫视HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228115/index.m3u8
北京卫视 H265 8M,http://112.25.63.195:8080/gitv_live/G_BEIJING-HD-265-8M/G_BEIJING-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
湖南卫视HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228227/index.m3u8
湖南卫视 H265 8M,http://112.25.63.195:8080/gitv_live/G_HUNAN-HD-265-8M/G_HUNAN-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
江苏卫视 H265 8M,http://112.25.63.195:8080/gitv_live/G_JIANGSU-HD-265-8M/G_JIANGSU-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
辽宁卫视HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228162/index.m3u8
辽宁卫视 H265 8M,http://112.25.63.195:8080/gitv_live/G_LIAONING-HD-265-8M/G_LIAONING-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
广东卫视HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228230/index.m3u8
广东卫视 H265 8M,http://112.25.63.195:8080/gitv_live/G_GUANGDONG-HD-265-8M/G_GUANGDONG-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
黑龙江卫视HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228233/index.m3u8
黑龙江卫视 H265 8M,http://112.25.63.195:8080/gitv_live/G_HEILONGJIANG-HD-265-8M/G_HEILONGJIANG-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
深圳卫视HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228236/index.m3u8
深圳卫视 H265 8M,http://112.25.63.195:8080/gitv_live/G_SHENZHEN-HD-265-8M/G_SHENZHEN-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
天津卫视HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228239/index.m3u8
天津卫视 H265 8M,http://112.25.63.195:8080/gitv_live/G_TIANJIN-HD-265-8M/G_TIANJIN-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
湖北卫视HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228159/index.m3u8
湖北卫视 H265 8M,http://112.25.63.195:8080/gitv_live/G_HUBEI-HD-265-8M/G_HUBEI-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
东方卫视HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228150/index.m3u8
东方卫视 H265 8M,http://112.25.63.195:8080/gitv_live/G_DONGFANG-HD-265-8M/G_DONGFANG-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
安徽卫视HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228153/index.m3u8
安徽卫视 H265 8M,http://112.25.63.195:8080/gitv_live/G_ANHUI-HD-265-8M/G_ANHUI-HD-265-8M.m3u8?p=GITV&area=JS_CMCC_CP
浙江卫视HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228147/index.m3u8
